time,open,high,low,close,Plot,Plot,Plot,Plot,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA
1597594020,433.95,434.8,433,433.95,432.04496325117026,429.20531405486764,427.0017805917993,425.125520256966,NaN,NaN,NaN,76424,329169.5
1597594080,433.9,434.15,433.75,433.9,432.22163341772546,429.3894193860493,427.13837899592204,425.2128285131156,NaN,NaN,NaN,37831,327366.9
1597594140,433.9,433.9,433.2,433.2,432.31481118746586,429.53885391992975,427.2584110950127,425.2923028562687,NaN,NaN,NaN,46652,320457.8
1597594200,433.15,434.85,433.15,434.25,432.4991148838977,429.72360474659916,427.39685840006194,425.3814341711317,NaN,NaN,NaN,175830,299735.6
1597594260,434.25,435,434.25,435,432.7372944187646,429.93052220751684,427.54741565946665,425.477141293807,NaN,NaN,NaN,33712,293276.2
1597594320,434.9,435.25,434.65,434.85,432.93850447412035,430.1234429052613,427.6920212899723,425.5704035694905,NaN,NaN,NaN,148161,297035.5
1597594380,434.85,435.7,434.85,435.45,433.1776945242041,430.33232749721185,427.8456446307649,425.6687080115851,NaN,NaN,NaN,52999,296880.35
1597594440,435.5,435.5,434.8,435.4,433.3893426647561,430.53105975222314,427.9952358261953,425.76553678758927,NaN,NaN,NaN,59582,293284.55
1597594500,435.1,436.5,435.1,436.2,433.6570243157317,430.75337113448893,428.1577064038944,425.8693622921904,NaN,NaN,NaN,64392,264585.65
1597594560,436.2,437.65,436.2,437.35,434.008736285662,431.0120624625482,428.33973201965887,425.9835974932631,NaN,NaN,NaN,266031,273335.7
1597594620,437.35,437.55,436,436.65,434.260285210837,431.2331580522522,428.5042917816458,426.0897308515391,NaN,NaN,NaN,163803,276405.25
1597594680,436.7,437.35,436.3,436.3,434.4545437621859,431.4318577364776,428.6586622414152,426.19132556943424,NaN,NaN,NaN,99703,279915.45
1597594740,436.3,436.3,435.55,435.85,434.5874443562634,431.60511821740005,428.80106496930796,426.2874317826737,NaN,NaN,NaN,41061,273394.8
1597594800,435.85,435.9,435.1,435.6,434.6838782270955,431.76178024809025,428.93569734615335,426.38009415299535,NaN,NaN,NaN,83227,192715.15
